{{Base item
|rarity_id                               = normal
|name                                    = Screaming Essence of Anguish
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 68
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceAnguish2
|stack_size                              = 9
|description                             = Upgrades a normal item to rare with one guaranteed property<br />One Handed Weapon: Adds (31-41) to (61-71) [[Fire Damage]] to [[Spell|Spells]]<br />Two Handed Weapon: Adds (41-55) to (83-96) [[Fire Damage]] to [[Spell|Spells]]<br />Gloves: Adds (6-8) to (13-17) [[Fire Damage]] to [[Attack|Attacks]]<br />Body Armour: (7-8)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]<br />Shield: (7-8)% chance to Avoid [[Fire Damage]] from [[Hit|Hits]]<br />Other Armour: (23-26)% chance to Avoid being Ignited<br />Quiver: Adds (6-8) to (13-17) [[Fire Damage]] to [[Attack|Attacks]]<br />Belt: (23-26)% chance to Avoid being Ignited<br />Other Jewellery: Adds (16-22) to (32-38) [[Fire Damage]] to [[Attack|Attacks]]
|help_text                               = Right click this item then left click a normal item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|drop_level_maximum                      = 100
|essence_level                           = 5
|essence_type                            = 4
|essence_category                        = Essence of Anguish
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel5, EssenceDaemonPhysicalAddedAndConvertedToFire, EssenceDaemonMeteorFirestorm
|is_essence                              = True
}}
