{{Base item
|rarity_id                               = normal
|name                                    = Screaming Essence of Contempt
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 68
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceContempt5
|stack_size                              = 9
|description                             = Upgrades a normal item to rare with one guaranteed property<br />One Handed Weapon: Adds (13-17) to (26-30) [[Physical Damage]]<br />Two Handed Weapon: Adds (21-27) to (42-48) [[Physical Damage]]<br />Gloves: Adds (4-5) to (8-9) [[Physical Damage]] to [[Attack|Attacks]]<br />Other Armour: Reflects (51-100) [[Physical Damage]] to Melee Attackers<br />Quiver: Adds (4-5) to (8-9) [[Physical Damage]] to [[Attack|Attacks]]<br />Amulet: Adds (9-12) to (19-22) [[Physical Damage]] to [[Attack|Attacks]]<br />Ring: Adds (6-8) to (12-13) [[Physical Damage]] to [[Attack|Attacks]]<br />Belt: Reflects (51-100) [[Physical Damage]] to Melee Attackers
|help_text                               = Right click this item then left click a normal item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|drop_level_maximum                      = 100
|essence_level                           = 5
|essence_type                            = 1
|essence_category                        = Essence of Contempt
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel5, EssenceDaemonSummonMovingKaruiSpirit1
|is_essence                              = True
}}
