{{Base item
|rarity_id                               = normal
|name                                    = Screaming Essence of Torment
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 68
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceTorment4
|stack_size                              = 9
|description                             = Upgrades a normal item to rare with one guaranteed property<br />One Handed Weapon: Adds (3-9) to (106-112) [[Lightning Damage]] to [[Spell|Spells]]<br />Two Handed Weapon: Adds (4-13) to (159-168) [[Lightning Damage]] to [[Spell|Spells]]<br />Gloves: Adds (1-2) to (25-26) [[Lightning Damage]] to [[Attack|Attacks]]<br />Body Armour: (7-8)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]<br />Shield: (7-8)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]<br />Other Armour: (23-26)% chance to Avoid being [[Shock|Shocked]]<br />Quiver: Adds (1-2) to (25-26) [[Lightning Damage]] to [[Attack|Attacks]]<br />Belt: (23-26)% chance to Avoid being [[Shock|Shocked]]<br />Other Jewellery: Adds (3-6) to (57-61) [[Lightning Damage]] to [[Attack|Attacks]]
|help_text                               = Right click this item then left click a normal item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|drop_level_maximum                      = 100
|essence_level                           = 5
|essence_type                            = 2
|essence_category                        = Essence of Torment
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel5, EssenceDaemonPhysicalAddedAndConvertedToLightning
|is_essence                              = True
}}
