{{Base item
|rarity_id                               = normal
|name                                    = Shrieking Essence of Torment
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 0
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceTorment5
|stack_size                              = 9
|description                             = Upgrades a normal item to rare or reforges a rare item, guaranteeing one property<br />One Handed Weapon: Adds (3-10) to (126-133) [[Lightning Damage]] to [[Spell|Spells]]<br />Two Handed Weapon: Adds (5-15) to (189-200) [[Lightning Damage]] to [[Spell|Spells]]<br />Gloves: Adds (1-2) to (27-28) [[Lightning Damage]] to [[Attack|Attacks]]<br />Body Armour: (8-9)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]<br />Shield: (8-9)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]<br />Other Armour: (27-30)% chance to Avoid being [[Shock|Shocked]]<br />Quiver: Adds (1-2) to (27-28) [[Lightning Damage]] to [[Attack|Attacks]]<br />Belt: (27-30)% chance to Avoid being [[Shock|Shocked]]<br />Other Jewellery: Adds (3-7) to (68-72) [[Lightning Damage]] to [[Attack|Attacks]]
|help_text                               = Right click this item then left click a normal or rare item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|essence_level                           = 6
|essence_type                            = 2
|essence_category                        = Essence of Torment
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel6, EssenceDaemonPhysicalAddedAndConvertedToLightning
|is_essence                              = True
}}
