{{Base item
|rarity_id                               = normal
|name                                    = Weeping Essence of Suffering
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 30
|tags                                    = essence, currency, default
|metadata_id                             = Metadata/Items/Currency/CurrencyEssenceSuffering1
|stack_size                              = 9
|description                             = Upgrades a normal item to rare with one guaranteed property<br />Properties restricted to level 60 and below<br /><br />One Handed Weapon: Adds (11-15) to (22-25) [[Cold Damage]] to [[Spell|Spells]]<br />Two Handed Weapon: Adds (16-22) to (33-38) [[Cold Damage]] to [[Spell|Spells]]<br />Gloves: Adds (5-7) to (10-12) [[Cold Damage]] to [[Attack|Attacks]]<br />Body Armour: (5-6)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]<br />Shield: (5-6)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]<br />Other Armour: (15-18)% chance to Avoid being [[Freeze|Frozen]]<br />Quiver: Adds (5-7) to (10-12) [[Cold Damage]] to [[Attack|Attacks]]<br />Belt: (15-18)% chance to Avoid being [[Freeze|Frozen]]<br />Other Jewellery: Adds (6-9) to (13-16) [[Cold Damage]] to [[Attack|Attacks]]
|help_text                               = Right click this item then left click a normal item to apply it.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|drop_level_maximum                      = 100
|essence_level_restriction               = 60
|essence_level                           = 3
|essence_type                            = 3
|essence_category                        = Essence of Suffering
|essence_monster_modifier_ids            = EssenceDaemonModLifeAndDamageLevel3, EssenceDaemonPhysicalAddedAndConvertedToCold
|is_essence                              = True
}}
